Designator,Mid X,Mid Y,Rotation,Layer
D1,70.5,-36.83,90.0,bottom
D10,241.935,-36.83,90.0,bottom
D101,72.87,-134.61,270.0,bottom
D102,99.07,-134.66,270.0,bottom
D103,120.5,-134.62,270.0,bottom
D106,191.97,-136.68,270.0,bottom
D11,261.02,-36.703,90.0,bottom
D110,265.63,-134.7,270.0,bottom
D111,290.71,-134.57,270.0,bottom
D112,315.849,-135.763,270.0,bottom
D115,337.058,-135.79,270.0,bottom
D116,356.235,-135.83,270.0,bottom
D117,375.29,-135.9,270.0,bottom
D118,394.29,-135.95,270.0,bottom
D119,403.91,-126.23,180.0,bottom
D12,280.035,-36.703,90.0,top
D120,412.99,-125.43,270.0,bottom
D13,299.085,-36.957,90.0,top
D14,318.12,-36.703,90.0,bottom
D15,337.14,-36.83,90.0,top
D16,356.235,-36.957,90.0,top
D17,375.285,-36.83,90.0,top
D18,394.335,-36.83,90.0,top
D19,413.385,-36.83,90.0,top
D2,89.535,-36.83,90.0,bottom
D20,432.435,-36.83,90.0,bottom
D21,70.485,-55.88,90.0,bottom
D22,89.535,-55.88,90.0,bottom
D23,108.458,-55.88,90.0,bottom
D24,127.635,-55.753,90.0,bottom
D25,146.685,-55.88,90.0,bottom
D26,165.735,-55.88,90.0,bottom
D27,184.658,-55.88,90.0,bottom
D28,203.835,-55.88,90.0,bottom
D29,222.885,-55.88,90.0,bottom
D3,108.66,-36.83,90.0,bottom
D30,241.808,-55.88,90.0,bottom
D31,261.112,-55.88,90.0,bottom
D32,280.035,-55.88,90.0,bottom
D33,299.085,-55.88,90.0,bottom
D35,337.185,-55.88,90.0,bottom
D36,356.235,-55.88,90.0,bottom
D37,375.285,-55.88,90.0,bottom
D38,394.335,-55.88,90.0,bottom
D39,413.385,-56.007,90.0,bottom
D4,127.635,-36.83,90.0,bottom
D40,432.562,-56.007,90.0,bottom
D41,77.47,-74.93,90.0,bottom
D42,99.06,-74.93,90.0,bottom
D43,118.11,-74.93,90.0,bottom
D44,137.16,-74.93,90.0,bottom
D45,156.21,-74.93,90.0,bottom
D46,175.26,-74.93,90.0,bottom
D47,194.31,-74.93,90.0,bottom
D48,213.36,-74.93,90.0,bottom
D49,232.41,-74.93,90.0,bottom
D5,146.77,-36.83,90.0,bottom
D50,251.46,-74.93,90.0,bottom
D51,270.51,-74.93,90.0,bottom
D52,289.56,-74.93,90.0,bottom
D53,311.15,-74.93,90.0,bottom
D55,334.772,-74.93,90.0,bottom
D56,356.235,-75.057,90.0,bottom
D57,375.285,-74.93,90.0,bottom
